code,total_return_A_V17基准,n_trades_A_V17基准,win_rate_A_V17基准,avg_ret_per_trade_A_V17基准,total_return_B_ATR_k2.0,n_trades_B_ATR_k2.0,win_rate_B_ATR_k2.0,avg_ret_per_trade_B_ATR_k2.0,total_return_C_ATR_k2.5,n_trades_C_ATR_k2.5,win_rate_C_ATR_k2.5,avg_ret_per_trade_C_ATR_k2.5,total_return_D_ATR_k3.0,n_trades_D_ATR_k3.0,win_rate_D_ATR_k3.0,avg_ret_per_trade_D_ATR_k3.0,total_return_E_ATR_k3.5,n_trades_E_ATR_k3.5,win_rate_E_ATR_k3.5,avg_ret_per_trade_E_ATR_k3.5,total_return_F_ATR_k4.0,n_trades_F_ATR_k4.0,win_rate_F_ATR_k4.0,avg_ret_per_trade_F_ATR_k4.0
000001.SZ,-2.988,7,28.6,-3.957,-3.154,6,16.7,-4.798,-3.157,6,16.7,-5.401,2.143,2,50.0,11.075,1.97,2,50.0,9.986,1.97,2,50.0,9.986
000002.SZ,-3.009,4,0.0,-7.404,-2.528,4,0.0,-6.092,-2.922,4,0.0,-7.455,-2.678,3,0.0,-9.025,-2.888,3,0.0,-9.364,-3.912,3,0.0,-12.929
000063.SZ,-4.098,7,14.3,-5.473,-1.415,5,20.0,-2.987,-0.94,4,25.0,-2.46,-1.455,4,25.0,-3.916,-1.811,4,25.0,-4.725,-2.023,4,25.0,-4.782
000100.SZ,0.854,6,50.0,1.452,-5.019,9,11.1,-5.316,-4.59,8,12.5,-5.799,-3.926,7,14.3,-5.273,-2.281,5,20.0,-4.223,-1.483,4,25.0,-3.251
000157.SZ,-2.423,9,44.4,-2.544,3.266,1,100.0,32.762,3.266,1,100.0,32.762,3.266,1,100.0,32.762,3.266,1,100.0,32.762,3.266,1,100.0,32.762
000166.SZ,-0.303,6,33.3,-0.194,1.228,1,100.0,12.378,1.228,1,100.0,12.378,1.228,1,100.0,12.378,1.228,1,100.0,12.378,1.228,1,100.0,12.378
000301.SZ,1.225,4,25.0,3.159,0.744,4,25.0,2.506,0.527,4,25.0,1.628,0.342,4,25.0,1.176,0.196,4,25.0,0.733,0.076,4,25.0,0.417
000333.SZ,3.173,6,66.7,5.89,6.114,3,33.3,21.66,7.614,2,50.0,38.736,7.351,2,50.0,37.698,7.351,2,50.0,37.698,10.03,1,100.0,100.931
000338.SZ,8.705,7,71.4,13.559,12.318,3,33.3,41.686,19.407,1,100.0,194.751,19.407,1,100.0,194.751,19.407,1,100.0,194.751,19.407,1,100.0,194.751
000408.SZ,22.59,5,40.0,45.1,20.061,4,25.0,50.994,24.897,3,33.3,84.885,24.74,3,33.3,84.622,25.661,2,50.0,130.403,29.965,1,100.0,296.142
000425.SZ,-0.408,7,28.6,0.033,4.027,2,50.0,20.769,3.942,2,50.0,20.036,3.636,2,50.0,18.896,3.568,2,50.0,18.407,3.687,2,50.0,18.57
000538.SZ,-0.12,5,40.0,-0.158,0.539,3,33.3,1.833,0.321,3,33.3,1.11,-0.131,3,33.3,-0.035,-0.131,3,33.3,-0.035,-0.302,3,33.3,-0.704
000568.SZ,-5.445,9,22.2,-5.917,-5.228,8,0.0,-6.548,-6.567,8,0.0,-8.23,-6.305,7,0.0,-8.979,-5.739,6,0.0,-9.636,-6.572,6,0.0,-11.074
000596.SZ,-3.056,6,33.3,-4.768,-3.639,6,16.7,-5.898,-4.556,6,16.7,-7.344,-4.663,6,16.7,-7.57,-6.15,6,16.7,-9.827,-6.578,6,16.7,-10.779
000617.SZ,-5.143,6,0.0,-8.466,-5.417,7,0.0,-7.753,-4.855,6,0.0,-8.127,-5.175,6,0.0,-8.851,-1.201,4,25.0,-2.716,-2.098,4,25.0,-4.869
000625.SZ,-2.394,5,20.0,-4.756,-1.586,3,0.0,-4.655,0.178,1,0.0,-2.19,-0.321,1,0.0,-2.874,-0.49,1,0.0,-4.414,-0.49,1,0.0,-4.414
000630.SZ,2.81,8,25.0,4.362,6.268,6,16.7,11.223,5.058,6,16.7,9.373,4.537,6,16.7,8.658,4.475,6,16.7,8.513,4.503,6,16.7,8.614
000651.SZ,-3.146,10,20.0,-2.972,3.465,3,33.3,11.671,3.171,3,33.3,10.91,2.796,3,33.3,9.89,2.55,3,33.3,9.099,2.583,3,33.3,9.297
000657.SZ,14.537,8,25.0,18.564,40.684,6,16.7,72.461,57.932,4,25.0,150.304,57.916,4,25.0,149.493,57.148,4,25.0,148.827,56.34,4,25.0,147.861
000708.SZ,0.258,5,60.0,0.501,1.051,3,33.3,3.807,0.958,3,33.3,2.788,1.022,3,33.3,3.785,1.224,2,50.0,6.294,1.14,2,50.0,6.03
000725.SZ,-3.231,8,25.0,-3.909,2.323,5,20.0,4.718,1.667,5,20.0,3.817,1.559,5,20.0,3.562,1.142,5,20.0,2.692,1.0,5,20.0,2.309
000768.SZ,-2.431,5,20.0,-4.805,-2.859,4,0.0,-7.079,-0.906,1,0.0,-8.635,-0.906,1,0.0,-8.635,-1.091,1,0.0,-8.94,-1.199,1,0.0,-12.342
000776.SZ,0.808,7,28.6,1.689,8.301,2,50.0,42.213,8.202,2,50.0,41.831,8.156,2,50.0,41.553,8.072,2,50.0,41.206,8.042,2,50.0,41.068
000792.SZ,3.138,5,20.0,6.766,2.841,7,14.3,4.318,2.773,6,16.7,4.991,1.934,6,16.7,3.302,2.116,5,20.0,4.774,1.556,5,20.0,3.735
