code,total_return_A_V17基准,n_trades_A_V17基准,win_rate_A_V17基准,avg_ret_per_trade_A_V17基准,blocked_A_V17基准,total_return_B_DMI严格,n_trades_B_DMI严格,win_rate_B_DMI严格,avg_ret_per_trade_B_DMI严格,blocked_B_DMI严格,total_return_C_ADX分档,n_trades_C_ADX分档,win_rate_C_ADX分档,avg_ret_per_trade_C_ADX分档,blocked_C_ADX分档
601018.SH,-3.947,6,0.0,-6.675,0,-4.203,6,0.0,-7.142,6,-2.491,6,0.0,-7.142,6
600930.SH,-2.843,3,0.0,-9.663,0,-2.843,3,0.0,-9.663,0,-2.445,3,0.0,-9.663,0
600522.SH,2.886,8,12.5,-5.162,0,3.942,7,14.286,-4.458,1,2.026,7,14.286,-4.458,1
002625.SZ,4.026,7,14.286,6.214,0,5.926,5,20.0,12.324,2,2.719,5,20.0,12.324,2
002384.SZ,45.506,8,25.0,57.232,0,43.751,7,28.571,63.577,4,21.218,7,28.571,63.577,4
688047.SH,-8.893,8,0.0,-10.964,0,-8.372,9,0.0,-9.523,1,-6.067,9,0.0,-9.523,1
601825.SH,-1.126,10,40.0,-1.059,0,-2.477,11,36.364,-2.207,1,-2.072,11,36.364,-2.207,1
601077.SH,4.002,9,66.667,4.412,0,4.042,7,71.429,5.708,7,2.457,7,71.429,5.708,7
002600.SZ,-2.173,10,10.0,-2.047,0,-3.095,10,10.0,-3.004,5,-2.785,10,10.0,-3.004,5
001391.SZ,-0.898,1,0.0,-8.998,0,0.0,0,0,0,1,0.0,0,0,0,1
601058.SH,-1.894,9,44.444,-1.432,0,-0.684,8,50.0,-0.154,10,-0.898,8,50.0,-0.154,10
600066.SH,10.912,10,30.0,11.205,0,11.561,8,37.5,14.469,3,6.46,8,37.5,14.469,3
600160.SH,3.922,5,60.0,0.444,0,3.922,5,60.0,0.444,0,1.89,5,60.0,0.444,0
601127.SH,-2.5,6,33.333,-4.336,0,-2.117,6,16.667,-3.335,4,-2.728,6,16.667,-3.335,4
