code,total_return_a,n_trades_a,win_rate_a,avg_ret_per_trade_a,total_return_e,n_trades_e,win_rate_e,avg_ret_per_trade_e
000001.SZ,-2.988,6,16.667,-4.866,-0.672,1,0.0,-6.839
000002.SZ,-3.917,5,0.0,-8.025,-0.909,1,0.0,-9.245
000063.SZ,-4.098,7,14.286,-5.954,-1.096,1,0.0,-10.835
000100.SZ,0.854,5,40.0,0.255,-0.98,1,0.0,-9.819
000157.SZ,-2.423,9,44.444,-2.709,0.132,1,100.0,1.322
000166.SZ,-0.303,5,40.0,-0.113,0.981,1,100.0,9.813
000301.SZ,1.225,3,0.0,-6.897,-0.894,1,0.0,-8.974
000333.SZ,3.173,5,60.0,4.716,-1.083,2,0.0,-5.341
000338.SZ,8.705,7,71.429,12.607,-0.186,1,0.0,-1.863
000408.SZ,22.59,5,40.0,44.75,-1.078,1,0.0,-10.646
000425.SZ,-0.408,7,28.571,-0.507,-0.458,1,0.0,-4.593
000538.SZ,-0.12,5,40.0,-0.219,-1.912,2,0.0,-9.629
000568.SZ,-5.445,9,22.222,-6.212,0.022,1,100.0,0.217
000596.SZ,-3.056,5,20.0,-6.527,-2.206,2,0.0,-11.037
000617.SZ,-5.824,7,0.0,-8.51,-0.839,1,0.0,-8.528
000625.SZ,-2.394,5,20.0,-4.831,0.408,1,100.0,4.124
000630.SZ,1.691,9,22.222,2.16,-0.916,1,0.0,-9.093
000651.SZ,-3.147,9,22.222,-2.935,-0.918,1,0.0,-9.117
000657.SZ,14.537,7,14.286,-1.203,-1.055,2,0.0,-5.215
000708.SZ,0.258,5,60.0,0.53,0.193,1,100.0,1.941
000725.SZ,-3.231,7,14.286,-6.55,-0.809,1,0.0,-8.112
000768.SZ,-2.431,5,20.0,-4.916,0.352,1,100.0,3.547
000776.SZ,0.896,7,28.571,1.527,-0.3,1,0.0,-2.975
000792.SZ,3.138,4,0.0,-6.713,-0.81,1,0.0,-8.152
000807.SZ,6.277,7,42.857,9.169,-1.551,3,0.0,-5.249
000858.SZ,-3.069,6,16.667,-5.183,-0.337,1,0.0,-3.355
000895.SZ,-0.026,5,40.0,-0.051,0.329,1,100.0,3.288
000938.SZ,1.216,4,0.0,-11.081,-1.28,1,0.0,-12.695
000963.SZ,-3.63,7,28.571,-4.957,-0.506,1,0.0,-5.083
000975.SZ,0.497,8,50.0,0.665,-0.763,1,0.0,-7.717
000977.SZ,-0.827,6,16.667,-1.243,-0.896,1,0.0,-8.982
000988.SZ,12.57,3,33.333,-5.05,-1.836,1,0.0,-17.312
000999.SZ,-5.401,7,0.0,-7.708,-2.218,3,0.0,-7.487
001280.SZ,0.0,0,0,0,0.0,0,0,0
001391.SZ,-0.898,1,0.0,-8.998,-0.898,1,0.0,-8.998
001965.SZ,-2.061,8,25.0,-2.585,-0.574,1,0.0,-5.746
001979.SZ,-3.168,6,16.667,-5.378,-1.623,2,0.0,-8.206
002001.SZ,2.145,7,42.857,3.266,0.134,1,100.0,1.344
002027.SZ,-2.812,6,16.667,-4.686,-1.082,1,0.0,-10.633
002028.SZ,14.74,5,40.0,5.052,-0.738,2,0.0,-3.699
002049.SZ,-3.706,4,0.0,-8.993,-0.563,1,0.0,-5.594
002050.SZ,-2.09,7,14.286,-7.809,0.542,1,100.0,5.365
002074.SZ,-2.227,3,0.0,-10.304,-1.421,1,0.0,-13.539
002142.SZ,-2.829,6,33.333,-4.647,-1.245,1,0.0,-12.45
002179.SZ,-3.748,6,16.667,-6.369,-0.394,1,0.0,-3.923
002202.SZ,11.892,3,66.667,1.885,-0.911,1,0.0,-9.134
002230.SZ,-5.559,6,0.0,-9.5,-1.404,1,0.0,-14.199
002236.SZ,-2.948,4,25.0,-7.438,-1.228,1,0.0,-12.472
002241.SZ,3.397,6,33.333,5.856,-1.833,2,0.0,-9.198
002304.SZ,-3.079,4,0.0,-7.772,-0.807,1,0.0,-8.076
002311.SZ,-0.071,7,42.857,-0.015,-1.15,1,0.0,-11.482
002352.SZ,2.272,2,100.0,11.335,1.886,1,100.0,18.875
002353.SZ,8.662,10,60.0,8.49,-0.124,1,0.0,-1.242
002371.SZ,10.897,6,50.0,-0.394,-0.228,2,50.0,-1.093
002384.SZ,45.506,8,25.0,57.232,-0.942,1,0.0,-9.437
002415.SZ,-0.579,4,0.0,-8.171,-0.556,1,0.0,-5.75
002422.SZ,0.586,8,25.0,-4.379,-0.714,1,0.0,-7.137
002460.SZ,5.175,3,33.333,-5.68,-1.474,1,0.0,-14.74
002463.SZ,20.764,8,12.5,-1.182,-2.064,2,0.0,-10.332
002466.SZ,3.996,3,33.333,13.533,-0.689,1,0.0,-7.053
002475.SZ,1.659,7,28.571,-3.572,-1.794,2,0.0,-8.951
002493.SZ,0.742,5,40.0,1.221,-0.847,2,50.0,-4.279
002532.SZ,13.624,3,66.667,45.393,-1.184,1,0.0,-11.54
002558.SZ,13.208,6,50.0,21.776,1.873,1,100.0,18.949
