hx_vol_mult,yycs_vol_mult,jzjq_spread,jzjq_vol_mult,stop_loss_pct,total_return,n_trades,win_rate,avg_ret_per_trade,score
0.8,1.5,0.01,1.5,0.06,3.54,8.0,28.0,1.79,2.2912
0.8,1.5,0.01,1.5,0.08,3.67,7.2,31.0,1.77,2.3187
0.8,1.5,0.01,1.5,0.1,3.64,6.7,33.0,1.76,2.3408
0.8,1.5,0.01,2.0,0.06,3.56,7.9,29.0,1.83,2.3607
0.8,1.5,0.01,2.0,0.08,3.68,7.1,31.0,1.73,2.2663
0.8,1.5,0.01,2.0,0.1,3.62,6.7,33.0,1.7,2.261
0.8,1.5,0.01,2.5,0.06,3.5,7.9,29.0,1.78,2.2962
0.8,1.5,0.01,2.5,0.08,3.61,7.1,31.0,1.68,2.2008
0.8,1.5,0.01,2.5,0.1,3.57,6.7,33.0,1.66,2.2078
0.8,1.5,0.015,1.5,0.06,3.43,8.1,28.0,1.59,2.0352
0.8,1.5,0.015,1.5,0.08,3.66,7.2,31.0,1.76,2.3056
0.8,1.5,0.015,1.5,0.1,3.63,6.8,33.0,1.71,2.2743
0.8,1.5,0.015,2.0,0.06,3.55,7.9,29.0,1.74,2.2446
0.8,1.5,0.015,2.0,0.08,3.64,7.1,31.0,1.65,2.1615
0.8,1.5,0.015,2.0,0.1,3.58,6.7,33.0,1.55,2.0615
0.8,1.5,0.015,2.5,0.06,3.47,7.9,29.0,1.75,2.2575
0.8,1.5,0.015,2.5,0.08,3.61,7.1,31.0,1.68,2.2008
0.8,1.5,0.015,2.5,0.1,3.56,6.7,33.0,1.65,2.1945
0.8,1.5,0.02,1.5,0.06,3.37,8.3,28.0,1.63,2.0864
0.8,1.5,0.02,1.5,0.08,3.58,7.4,31.0,1.74,2.2794
0.8,1.5,0.02,1.5,0.1,3.56,6.9,33.0,1.63,2.1679
0.8,1.5,0.02,2.0,0.06,3.42,8.0,28.0,1.66,2.1248
0.8,1.5,0.02,2.0,0.08,3.52,7.2,30.0,1.55,2.015
0.8,1.5,0.02,2.0,0.1,3.48,6.7,33.0,1.43,1.9019
0.8,1.5,0.02,2.5,0.06,3.43,8.0,29.0,1.73,2.2317
0.8,1.5,0.02,2.5,0.08,3.59,7.1,31.0,1.66,2.1746
0.8,1.5,0.02,2.5,0.1,3.52,6.7,33.0,1.61,2.1413
0.8,2.0,0.01,1.5,0.06,3.65,7.6,27.0,2.01,2.5527
0.8,2.0,0.01,1.5,0.08,3.77,6.9,30.0,2.03,2.639
0.8,2.0,0.01,1.5,0.1,3.71,6.5,32.0,1.74,2.2968
0.8,2.0,0.01,2.0,0.06,3.79,7.4,29.0,2.38,3.0702
0.8,2.0,0.01,2.0,0.08,3.75,6.8,31.0,2.09,2.7379
0.8,2.0,0.01,2.0,0.1,3.66,6.4,33.0,1.77,2.3541
0.8,2.0,0.01,2.5,0.06,3.66,7.4,29.0,2.28,2.9412
0.8,2.0,0.01,2.5,0.08,3.64,6.8,31.0,2.01,2.6331
0.8,2.0,0.01,2.5,0.1,3.64,6.4,33.0,1.77,2.3541
0.8,2.0,0.015,1.5,0.06,3.4,7.9,27.0,1.44,1.8288
0.8,2.0,0.015,1.5,0.08,3.57,7.1,30.0,1.57,2.041
0.8,2.0,0.015,1.5,0.1,3.63,6.6,33.0,1.52,2.0216
0.8,2.0,0.015,2.0,0.06,3.78,7.4,29.0,2.29,2.9541
0.8,2.0,0.015,2.0,0.08,3.72,6.8,31.0,2.02,2.6462
0.8,2.0,0.015,2.0,0.1,3.61,6.4,33.0,1.62,2.1546
0.8,2.0,0.015,2.5,0.06,3.65,7.5,29.0,2.25,2.9025
0.8,2.0,0.015,2.5,0.08,3.66,6.8,31.0,2.03,2.6593
0.8,2.0,0.015,2.5,0.1,3.65,6.4,33.0,1.78,2.3674
0.8,2.0,0.02,1.5,0.06,3.32,8.1,27.0,1.51,1.9177
0.8,2.0,0.02,1.5,0.08,3.5,7.3,30.0,1.57,2.041
0.8,2.0,0.02,1.5,0.1,3.55,6.7,33.0,1.47,1.9551
0.8,2.0,0.02,2.0,0.06,3.65,7.5,28.0,2.2,2.816
0.8,2.0,0.02,2.0,0.08,3.6,6.9,31.0,1.95,2.5545
0.8,2.0,0.02,2.0,0.1,3.51,6.5,33.0,1.52,2.0216
0.8,2.0,0.02,2.5,0.06,3.61,7.5,29.0,2.23,2.8767
0.8,2.0,0.02,2.5,0.08,3.63,6.9,31.0,2.03,2.6593
0.8,2.0,0.02,2.5,0.1,3.6,6.4,33.0,1.76,2.3408
0.8,2.5,0.01,1.5,0.06,3.53,7.5,26.0,1.64,2.0664
0.8,2.5,0.01,1.5,0.08,3.72,6.8,29.0,1.77,2.2833
0.8,2.5,0.01,1.5,0.1,3.72,6.4,34.0,1.84,2.4656
0.8,2.5,0.01,2.0,0.06,3.71,7.3,28.0,2.03,2.5984
0.8,2.5,0.01,2.0,0.08,3.73,6.6,30.0,1.87,2.431
0.8,2.5,0.01,2.0,0.1,3.67,6.3,35.0,1.84,2.484
0.8,2.5,0.01,2.5,0.06,3.59,7.3,28.0,1.92,2.4576
0.8,2.5,0.01,2.5,0.08,3.63,6.7,30.0,1.78,2.314
0.8,2.5,0.01,2.5,0.1,3.65,6.3,35.0,1.85,2.4975
0.8,2.5,0.015,1.5,0.06,3.28,7.8,25.0,1.07,1.3375
0.8,2.5,0.015,1.5,0.08,3.51,7.0,29.0,1.32,1.7028
0.8,2.5,0.015,1.5,0.1,3.64,6.5,34.0,1.68,2.2512
0.8,2.5,0.015,2.0,0.06,3.7,7.3,28.0,1.95,2.496
0.8,2.5,0.015,2.0,0.08,3.71,6.6,30.0,1.83,2.379
0.8,2.5,0.015,2.0,0.1,3.62,6.3,35.0,1.75,2.3625
0.8,2.5,0.015,2.5,0.06,3.58,7.3,28.0,1.87,2.3936
0.8,2.5,0.015,2.5,0.08,3.64,6.7,30.0,1.8,2.34
0.8,2.5,0.015,2.5,0.1,3.66,6.3,35.0,1.86,2.511
0.8,2.5,0.02,1.5,0.06,3.2,8.0,25.0,1.16,1.45
0.8,2.5,0.02,1.5,0.08,3.44,7.1,29.0,1.34,1.7286
0.8,2.5,0.02,1.5,0.1,3.57,6.6,34.0,1.66,2.2244
0.8,2.5,0.02,2.0,0.06,3.57,7.4,27.0,1.88,2.3876
0.8,2.5,0.02,2.0,0.08,3.58,6.7,30.0,1.78,2.314
0.8,2.5,0.02,2.0,0.1,3.53,6.3,35.0,1.69,2.2815
0.8,2.5,0.02,2.5,0.06,3.53,7.4,28.0,1.85,2.368
0.8,2.5,0.02,2.5,0.08,3.62,6.7,30.0,1.8,2.34
0.8,2.5,0.02,2.5,0.1,3.62,6.3,35.0,1.84,2.484
1.0,1.5,0.01,1.5,0.06,3.5,7.9,28.0,1.89,2.4192
1.0,1.5,0.01,1.5,0.08,3.57,7.1,30.0,1.85,2.405
1.0,1.5,0.01,1.5,0.1,3.54,6.6,32.0,1.78,2.3496
1.0,1.5,0.01,2.0,0.06,3.48,7.8,28.0,1.89,2.4192
1.0,1.5,0.01,2.0,0.08,3.53,7.0,30.0,1.76,2.288
1.0,1.5,0.01,2.0,0.1,3.48,6.6,32.0,1.66,2.1912
1.0,1.5,0.01,2.5,0.06,3.4,7.8,28.0,1.84,2.3552
1.0,1.5,0.01,2.5,0.08,3.45,7.0,30.0,1.71,2.223
1.0,1.5,0.01,2.5,0.1,3.42,6.6,32.0,1.62,2.1384
1.0,1.5,0.015,1.5,0.06,3.39,8.1,27.0,1.67,2.1209
1.0,1.5,0.015,1.5,0.08,3.56,7.1,30.0,1.83,2.379
1.0,1.5,0.015,1.5,0.1,3.54,6.7,32.0,1.73,2.2836
1.0,1.5,0.015,2.0,0.06,3.44,7.8,28.0,1.79,2.2912
1.0,1.5,0.015,2.0,0.08,3.49,7.0,30.0,1.66,2.158
1.0,1.5,0.015,2.0,0.1,3.43,6.6,32.0,1.51,1.9932
1.0,1.5,0.015,2.5,0.06,3.38,7.8,28.0,1.81,2.3168
1.0,1.5,0.015,2.5,0.08,3.46,7.0,30.0,1.72,2.236
1.0,1.5,0.015,2.5,0.1,3.41,6.6,32.0,1.61,2.1252
1.0,1.5,0.02,1.5,0.06,3.33,8.2,27.0,1.7,2.159
1.0,1.5,0.02,1.5,0.08,3.49,7.3,30.0,1.8,2.34
1.0,1.5,0.02,1.5,0.1,3.46,6.8,32.0,1.66,2.1912
1.0,1.5,0.02,2.0,0.06,3.31,7.9,27.0,1.69,2.1463
1.0,1.5,0.02,2.0,0.08,3.36,7.1,29.0,1.55,1.9995
1.0,1.5,0.02,2.0,0.1,3.33,6.6,31.0,1.39,1.8209
1.0,1.5,0.02,2.5,0.06,3.33,7.9,28.0,1.79,2.2912
1.0,1.5,0.02,2.5,0.08,3.43,7.0,30.0,1.7,2.21
1.0,1.5,0.02,2.5,0.1,3.36,6.6,32.0,1.56,2.0592
1.0,2.0,0.01,1.5,0.06,3.69,7.4,27.0,2.21,2.8067
1.0,2.0,0.01,1.5,0.08,3.8,6.7,30.0,2.22,2.886
1.0,2.0,0.01,1.5,0.1,3.72,6.3,32.0,1.89,2.4948
1.0,2.0,0.01,2.0,0.06,3.79,7.2,29.0,2.57,3.3153
1.0,2.0,0.01,2.0,0.08,3.72,6.5,31.0,2.26,2.9606
1.0,2.0,0.01,2.0,0.1,3.62,6.2,33.0,1.89,2.5137
1.0,2.0,0.01,2.5,0.06,3.67,7.2,29.0,2.47,3.1863
1.0,2.0,0.01,2.5,0.08,3.63,6.6,31.0,2.2,2.882
1.0,2.0,0.01,2.5,0.1,3.6,6.2,33.0,1.89,2.5137
1.0,2.0,0.015,1.5,0.06,3.43,7.8,26.0,1.55,1.953
1.0,2.0,0.015,1.5,0.08,3.57,6.9,30.0,1.68,2.184
1.0,2.0,0.015,1.5,0.1,3.61,6.4,32.0,1.56,2.0592
1.0,2.0,0.015,2.0,0.06,3.77,7.2,28.0,2.44,3.1232
1.0,2.0,0.015,2.0,0.08,3.65,6.6,30.0,2.07,2.691
1.0,2.0,0.015,2.0,0.1,3.54,6.2,32.0,1.61,2.1252
1.0,2.0,0.015,2.5,0.06,3.66,7.2,29.0,2.42,3.1218
1.0,2.0,0.015,2.5,0.08,3.61,6.6,31.0,2.13,2.7903
1.0,2.0,0.015,2.5,0.1,3.56,6.2,33.0,1.78,2.3674
1.0,2.0,0.02,1.5,0.06,3.35,7.9,26.0,1.61,2.0286
1.0,2.0,0.02,1.5,0.08,3.48,7.1,29.0,1.66,2.1414
1.0,2.0,0.02,1.5,0.1,3.53,6.5,32.0,1.5,1.98
1.0,2.0,0.02,2.0,0.06,3.64,7.3,28.0,2.35,3.008
1.0,2.0,0.02,2.0,0.08,3.53,6.7,30.0,2.0,2.6
1.0,2.0,0.02,2.0,0.1,3.44,6.3,32.0,1.52,2.0064
1.0,2.0,0.02,2.5,0.06,3.61,7.3,29.0,2.4,3.096
1.0,2.0,0.02,2.5,0.08,3.58,6.6,31.0,2.14,2.8034
1.0,2.0,0.02,2.5,0.1,3.52,6.2,33.0,1.76,2.3408
1.0,2.5,0.01,1.5,0.06,3.57,7.3,26.0,1.8,2.268
1.0,2.5,0.01,1.5,0.08,3.74,6.6,28.0,1.93,2.4704
1.0,2.5,0.01,1.5,0.1,3.73,6.2,33.0,1.99,2.6467
1.0,2.5,0.01,2.0,0.06,3.72,7.0,27.0,2.19,2.7813
1.0,2.5,0.01,2.0,0.08,3.71,6.4,30.0,2.01,2.613
1.0,2.5,0.01,2.0,0.1,3.63,6.0,34.0,1.96,2.6264
1.0,2.5,0.01,2.5,0.06,3.59,7.0,28.0,2.07,2.6496
1.0,2.5,0.01,2.5,0.08,3.62,6.4,30.0,1.94,2.522
1.0,2.5,0.01,2.5,0.1,3.61,6.0,34.0,1.96,2.6264
1.0,2.5,0.015,1.5,0.06,3.3,7.7,25.0,1.12,1.4
1.0,2.5,0.015,1.5,0.08,3.51,6.8,28.0,1.37,1.7536
1.0,2.5,0.015,1.5,0.1,3.62,6.3,34.0,1.7,2.278
1.0,2.5,0.015,2.0,0.06,3.69,7.0,27.0,2.08,2.6416
1.0,2.5,0.015,2.0,0.08,3.64,6.4,29.0,1.83,2.3607
1.0,2.5,0.015,2.0,0.1,3.55,6.1,34.0,1.73,2.3182
1.0,2.5,0.015,2.5,0.06,3.58,7.1,28.0,1.99,2.5472
1.0,2.5,0.015,2.5,0.08,3.59,6.4,30.0,1.84,2.392
1.0,2.5,0.015,2.5,0.1,3.57,6.1,34.0,1.85,2.479
1.0,2.5,0.02,1.5,0.06,3.22,7.8,25.0,1.22,1.525
1.0,2.5,0.02,1.5,0.08,3.42,7.0,28.0,1.39,1.7792
1.0,2.5,0.02,1.5,0.1,3.55,6.4,33.0,1.68,2.2344
1.0,2.5,0.02,2.0,0.06,3.56,7.2,27.0,2.01,2.5527
1.0,2.5,0.02,2.0,0.08,3.52,6.5,29.0,1.78,2.2962
1.0,2.5,0.02,2.0,0.1,3.45,6.1,34.0,1.67,2.2378
1.0,2.5,0.02,2.5,0.06,3.53,7.1,28.0,1.98,2.5344
1.0,2.5,0.02,2.5,0.08,3.56,6.5,30.0,1.85,2.405
1.0,2.5,0.02,2.5,0.1,3.53,6.1,34.0,1.84,2.4656
1.2,1.5,0.01,1.5,0.06,3.31,7.2,28.0,2.48,3.1744
1.2,1.5,0.01,1.5,0.08,3.43,6.5,31.0,2.33,3.0523
1.2,1.5,0.01,1.5,0.1,3.24,6.2,33.0,2.06,2.7398
1.2,1.5,0.01,2.0,0.06,3.31,7.0,28.0,2.47,3.1616
1.2,1.5,0.01,2.0,0.08,3.42,6.4,31.0,2.3,3.013
1.2,1.5,0.01,2.0,0.1,3.2,6.1,32.0,1.98,2.6136
1.2,1.5,0.01,2.5,0.06,3.12,7.0,28.0,2.32,2.9696
1.2,1.5,0.01,2.5,0.08,3.22,6.4,30.0,2.1,2.73
1.2,1.5,0.01,2.5,0.1,3.04,6.1,32.0,1.82,2.4024
1.2,1.5,0.015,1.5,0.06,3.17,7.4,28.0,2.3,2.944
1.2,1.5,0.015,1.5,0.08,3.4,6.6,32.0,2.33,3.0756
1.2,1.5,0.015,1.5,0.1,3.23,6.2,33.0,2.02,2.6866
1.2,1.5,0.015,2.0,0.06,3.24,7.1,28.0,2.36,3.0208
