code,name,final_value,total_return_pct,sharpe_ratio,max_drawdown_pct,annual_return_pct,total_trades,win_count,lose_count,win_rate_pct,buy_signals,sell_signals,avg_hold_days,best_trade_pct,worst_trade_pct,signal_distribution,data_start,data_end,data_bars,error
sh.600000,,124068.96,24.07,0.221,38.37,21.57,110,38,72,34.5,112,110,9.3,20.7,-7.94,"{'黑客点击': 27, '一阴破三线': 10, '马失前蹄': 18, '日月合璧': 2, '见好就收': 75, '一箭穿心': 8, '落井下石': 31, '过河拆桥': 11, '独上高楼': 6, '红杏出墙': 3, '三军集结': 2, '一剑封喉': 6, '浪子回头': 2, '动量加速': 6, '节外生枝': 8, '双蹄并进': 1, '金屋藏娇': 3, '止盈': 1, '止损': 2}",2023-01-03,2026-08-12,874,
sh.600009,,46051.18,-53.95,-1.029,56.42,-77.54,150,40,110,26.7,151,150,6.6,36.28,-11.56,"{'见好就收': 107, '一阴破三线': 12, '落井下石': 69, '马失前蹄': 16, '独上高楼': 13, '节外生枝': 8, '黑客点击': 34, '一箭穿心': 8, '三军集结': 7, '过河拆桥': 10, '一剑封喉': 10, '金屋藏娇': 2, '止盈': 1, '止损': 1, '分道扬镳': 2, '红杏出墙': 1}",2023-01-03,2026-08-12,874,
sh.600010,,61461.68,-38.54,-1.093,40.24,-48.68,136,46,90,33.8,139,136,6.8,21.08,-10.53,"{'见好就收': 112, '落井下石': 35, '马失前蹄': 22, '三军集结': 4, '一阴破三线': 9, '黑客点击': 22, '独上高楼': 7, '过河拆桥': 8, '一箭穿心': 8, '节外生枝': 18, '日月合璧': 2, '红衣侠女': 1, '止损': 6, '动量加速': 14, '一剑封喉': 2, '止盈': 2, '浪子回头': 1, '一枝独秀': 1, '金屋藏娇': 1}",2023-01-03,2026-08-12,874,
sh.600011,,76524.18,-23.48,-0.567,52.65,-26.76,109,44,65,40.4,111,109,9.3,27.79,-10.06,"{'见好就收': 88, '马失前蹄': 19, '节外生枝': 16, '过河拆桥': 20, '止损': 3, '一阴破三线': 11, '黑客点击': 17, '日月合璧': 1, '落井下石': 27, '一箭穿心': 5, '独上高楼': 3, '一剑封喉': 2, '浪子回头': 2, '三军集结': 3, '双蹄并进': 1, '止盈': 1, '动量加速': 1}",2023-01-03,2026-08-12,874,
sh.600015,,139366.22,39.37,0.323,26.09,33.19,82,33,49,40.2,83,83,13.5,32.07,-6.53,"{'黑客点击': 26, '马失前蹄': 10, '浪子回头': 1, '节外生枝': 7, '见好就收': 52, '过河拆桥': 19, '独上高楼': 5, '一箭穿心': 9, '一阴破三线': 7, '红杏出墙': 1, '日月合璧': 1, '一剑封喉': 6, '三军集结': 2, '止盈': 1, '动量加速': 1, '梅开二度': 1, '落井下石': 17}",2023-01-03,2026-08-12,874,
sh.600016,,109092.93,9.09,-0.011,33.04,8.7,93,32,61,34.4,95,93,11.3,27.73,-5.08,"{'黑客点击': 27, '过河拆桥': 8, '止盈': 1, '见好就收': 64, '日月合璧': 1, '动量加速': 7, '马失前蹄': 10, '独上高楼': 9, '一剑封喉': 3, '一箭穿心': 7, '一阴破三线': 6, '落井下石': 36, '分道扬镳': 1, '三军集结': 4, '红杏出墙': 1, '节外生枝': 2, '浪子回头': 1}",2023-01-03,2026-08-12,874,
sh.600018,,87553.35,-12.45,-0.647,32.59,-13.29,105,40,65,38.1,106,105,10.0,12.64,-9.31,"{'见好就收': 53, '过河拆桥': 20, '浪子回头': 2, '独上高楼': 17, '马失前蹄': 16, '止损': 2, '落井下石': 24, '一阴破三线': 12, '黑客点击': 44, '一箭穿心': 7, '一剑封喉': 4, '红杏出墙': 3, '节外生枝': 3, '金屋藏娇': 1, '三军集结': 3}",2023-01-03,2026-08-12,874,
sh.600019,,84923.05,-15.08,-0.673,33.07,-16.34,114,47,67,41.2,116,114,9.2,21.14,-10.82,"{'见好就收': 86, '节外生枝': 17, '黑客点击': 21, '过河拆桥': 16, '一剑封喉': 6, '浪子回头': 1, '止损': 4, '一箭穿心': 6, '落井下石': 21, '一阴破三线': 15, '独上高楼': 10, '三军集结': 6, '马失前蹄': 18, '日月合璧': 1, '红杏出墙': 1, '分道扬镳': 1}",2023-01-03,2026-08-12,874,
sh.600023,,94676.01,-5.32,-0.368,41.83,-5.47,123,49,74,39.8,124,123,7.9,14.65,-7.54,"{'见好就收': 92, '一剑封喉': 3, '一箭穿心': 7, '节外生枝': 14, '海底捞月': 1, '动量加速': 9, '日月合璧': 3, '马失前蹄': 16, '过河拆桥': 13, '一阴破三线': 14, '黑客点击': 22, '落井下石': 32, '独上高楼': 10, '浪子回头': 4, '串阳': 1, '红杏出墙': 2, '梅开二度': 1, '金屋藏娇': 1, '三军集结': 1, '止损': 1}",2023-01-03,2026-08-12,874,
sh.600025,,129611.84,29.61,0.412,31.5,25.94,113,51,62,45.1,114,113,9.5,17.4,-7.25,"{'见好就收': 86, '一箭穿心': 7, '黑客点击': 25, '独上高楼': 12, '一阴破三线': 11, '节外生枝': 8, '一剑封喉': 6, '马失前蹄': 10, '落井下石': 36, '过河拆桥': 18, '动量加速': 5, '金屋藏娇': 1, '止损': 1, '红杏出墙': 1}",2023-01-03,2026-08-12,874,
