code,total_return_full,n_trades_full,win_rate_full,avg_ret_per_trade_full,total_return_strong,n_trades_strong,win_rate_strong,avg_ret_per_trade_strong,total_return_leader,n_trades_leader,win_rate_leader,avg_ret_per_trade_leader
000001.SZ,-2.988,6,16.667,-4.866,-1.917,3,0.0,-6.48,0.002,1,100.0,0.02
000002.SZ,-3.917,5,0.0,-8.025,-0.909,1,0.0,-9.091,-0.909,1,0.0,-9.091
000063.SZ,-4.098,7,14.286,-5.954,-4.073,7,14.286,-5.923,-3.356,6,16.667,-5.668
000100.SZ,0.854,5,40.0,0.255,0.524,3,33.333,-0.75,-2.014,4,25.0,-5.004
000157.SZ,-2.423,9,44.444,-2.709,-0.047,4,50.0,-0.1,-0.449,4,25.0,-1.111
000166.SZ,-0.303,5,40.0,-0.113,-2.147,3,0.0,-6.457,-1.921,3,0.0,-6.45
000301.SZ,1.225,3,0.0,-6.897,1.725,0,0,0,1.725,0,0,0
000333.SZ,3.173,5,60.0,4.716,-1.677,3,0.0,-5.645,-2.096,3,0.0,-7.081
000338.SZ,8.705,7,71.429,12.607,6.4,5,20.0,13.198,7.129,4,25.0,18.197
000408.SZ,22.59,5,40.0,44.75,23.657,1,100.0,231.741,10.677,2,50.0,55.023
000425.SZ,-0.408,7,28.571,-0.507,1.578,4,50.0,3.992,0.199,4,50.0,0.619
000538.SZ,-0.12,5,40.0,-0.219,-1.573,3,0.0,-5.263,0.0,0,0,0
000568.SZ,-5.445,9,22.222,-6.212,-1.198,2,0.0,-6.031,-1.198,2,0.0,-6.031
000596.SZ,-3.056,5,20.0,-6.527,-2.377,3,0.0,-8.607,-2.669,3,0.0,-9.002
000617.SZ,-5.824,7,0.0,-8.51,-3.259,4,0.0,-8.321,-2.296,3,0.0,-7.79
000625.SZ,-2.394,5,20.0,-4.831,-2.19,3,0.0,-7.391,-1.864,3,0.0,-6.311
000630.SZ,1.691,9,22.222,2.16,5.402,4,50.0,13.381,5.879,3,66.667,19.652
000651.SZ,-3.147,9,22.222,-2.935,-1.865,3,0.0,-6.284,-2.341,3,0.0,-7.865
000657.SZ,14.537,7,14.286,-1.203,9.402,3,0.0,-9.225,9.402,3,0.0,-9.225
000708.SZ,0.258,5,60.0,0.53,0.256,2,100.0,1.286,-0.226,2,50.0,-1.128
000725.SZ,-3.231,7,14.286,-6.55,-0.596,3,0.0,-6.375,0.505,1,0.0,-8.112
000768.SZ,-2.431,5,20.0,-4.916,-1.335,3,0.0,-4.483,-1.891,3,0.0,-6.36
000776.SZ,0.896,7,28.571,1.527,-0.456,1,0.0,-4.564,-0.456,1,0.0,-4.564
000792.SZ,3.138,4,0.0,-6.713,0.489,1,0.0,-6.838,0.489,1,0.0,-6.838
000807.SZ,6.277,7,42.857,9.169,3.265,4,25.0,8.524,1.744,3,33.333,5.274
000858.SZ,-3.069,6,16.667,-5.183,-1.021,3,33.333,-3.428,-2.16,3,0.0,-7.287
000895.SZ,-0.026,5,40.0,-0.051,-0.02,1,0.0,-0.2,-0.02,1,0.0,-0.2
000938.SZ,1.216,4,0.0,-11.081,3.659,2,0.0,-10.486,-2.99,3,0.0,-10.027
000963.SZ,-3.63,7,28.571,-4.957,-1.381,3,33.333,-4.594,0.366,1,100.0,3.681
000975.SZ,0.497,8,50.0,0.665,2.297,6,66.667,3.788,2.925,5,60.0,5.933
000977.SZ,-0.827,6,16.667,-1.243,0.649,5,20.0,1.363,0.649,5,20.0,1.363
000988.SZ,12.57,3,33.333,-5.05,6.958,3,0.0,-12.335,6.958,3,0.0,-12.335
000999.SZ,-5.401,7,0.0,-7.708,-1.008,1,0.0,-10.0,-1.008,1,0.0,-10.0
001280.SZ,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0
001391.SZ,-0.898,1,0.0,-8.998,0.0,0,0,0,0.0,0,0,0
001965.SZ,-2.061,8,25.0,-2.585,-0.02,4,50.0,-0.003,-0.398,4,50.0,-0.955
001979.SZ,-3.168,6,16.667,-5.378,-2.675,3,0.0,-9.011,-2.675,3,0.0,-9.011
002001.SZ,2.145,7,42.857,3.266,5.613,2,100.0,28.005,4.445,2,100.0,22.166
